Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0044138357438";"0044138357438"),Hoxton High-Rise Ultra Skinny Jeans,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0044138990703";"0044138990703"),Margot High-Rise Crop Ultra Skinny Jeans,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0105160094408";"0105160094408"),Chris Low Rise Jeans,Wide
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161069173";"0190161069173"),Hoxton High-Rise Coated Ankle Skinny Jeans,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161069173";"0190161069173"),Hoxton High-Rise Coated Ankle Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161307633";"0190161307633"),Hoxton High-Rise Ultra-Skinny Ankle Jeans,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161307633";"0190161307633"),Hoxton High-Rise Ultra-Skinny Ankle Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161320373";"0190161320373"),Skyline Mid-Rise Stretch Skinny Ankle Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161443782";"0190161443782"),Maternity Skyline Mid-Rise Skinny Ankle Peg Jeans,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161443782";"0190161443782"),Maternity Skyline Mid-Rise Skinny Ankle Peg Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161745718";"0190161745718"),Margot Coated Ankle Skinny Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161757681";"0190161757681"),Cindy High-Rise Distress Ankle Jeans,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161757681";"0190161757681"),Cindy High-Rise Distress Ankle Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161814940";"0190161814940"),Cindy Raw-Hem Straight Jeans,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161823904";"0190161823904"),Flared Laurel Canyon Jeans,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161823904";"0190161823904"),Flared Laurel Canyon Jeans,Straight
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161856070";"0190161856070"),Cindy Raw-Hem Straight Jeans,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161856070";"0190161856070"),Cindy Raw-Hem Straight Jeans,Skinny
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161896298";"0190161896298"),Hoxton High-Rise Ankle Jeans,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161896298";"0190161896298"),Hoxton High-Rise Ankle Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161925370";"0190161925370"),Hoxton Mid-Rise Coated Skinny Ankle Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161925615";"0190161925615"),Hoxton Stretch Coated Skinny Ankle Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161928562";"0190161928562"),Hoxton High-Rise Skinny Ankle Jeans,MidRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161928562";"0190161928562"),Hoxton High-Rise Skinny Ankle Jeans,FullLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190161988672";"0190161988672"),Colette Stretch Flared Leg Jean,Straight
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190297678485";"0190297678485"),Cate Mid-Rise Ankle Skinny Jeans,LowRise
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Jeans-5-rasa/0190297678485";"0190297678485"),Cate Mid-Rise Ankle Skinny Jeans,FullLength
