Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738904531";"0190738904531"),Patra Quilted Wool-Blend Mixed-Media Jacket,DownJacket
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738906146";"0190738906146"),Dickey Long Tailored Jacket,RegularLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738906146";"0190738906146"),Dickey Long Tailored Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738907396";"0190738907396"),Miller Striped-Trim Dickey Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738908485";"0190738908485"),Nevis Wool-Blend Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738909222";"0190738909222"),Wilshire Houndstooth Dickey Jacket,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738909222";"0190738909222"),Wilshire Houndstooth Dickey Jacket,Trench
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738910075";"0190738910075"),Miller Dickey Corduroy Cotton-Blend Jacket,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738910075";"0190738910075"),Miller Dickey Corduroy Cotton-Blend Jacket,Trench
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738910105";"0190738910105"),Beacon Dickey Jacket,ThreeQuarterSleeves
